model,timestep,task,metric_value,best_layer
D,999,boundary,0.7403,res::up_blocks.2.resnets.2
D,999,ordinal,0.6646,res::up_blocks.3.resnets.1
D,999,depth,0.1477,res::up_blocks.3.resnets.1
D,999,boundary,0.7400,res::up_blocks.3.resnets.1
D,999,ordinal,0.7275,res::mid_block.resnets.0
D,999,depth,0.1531,res::mid_block.resnets.0
D,999,boundary,0.7303,res::mid_block.resnets.0
A,999,ordinal,0.6574,res::down_blocks.0.resnets.0
A,899,ordinal,0.6583,res::down_blocks.0.resnets.0
A,799,ordinal,0.6564,res::down_blocks.0.resnets.0
A,699,ordinal,0.6547,res::down_blocks.0.resnets.0
A,599,ordinal,0.6474,res::down_blocks.0.resnets.0
A,499,ordinal,0.6493,res::down_blocks.0.resnets.0
A,399,ordinal,0.6458,res::down_blocks.0.resnets.0
A,299,ordinal,0.6466,res::down_blocks.0.resnets.0
A,199,ordinal,0.6415,res::down_blocks.0.resnets.0
A,99,ordinal,0.6462,res::down_blocks.0.resnets.0
A,999,depth,0.1580,res::down_blocks.0.resnets.0
A,899,depth,0.1575,res::down_blocks.0.resnets.0
A,799,depth,0.1587,res::down_blocks.0.resnets.0
A,699,depth,0.1566,res::down_blocks.0.resnets.0
A,599,depth,0.1681,res::down_blocks.0.resnets.0
A,499,depth,0.1681,res::down_blocks.0.resnets.0
A,399,depth,0.1610,res::down_blocks.0.resnets.0
A,299,depth,0.1631,res::down_blocks.0.resnets.0
A,199,depth,0.1643,res::down_blocks.0.resnets.0
A,99,depth,0.1794,res::down_blocks.0.resnets.0
A,999,boundary,0.7506,res::down_blocks.0.resnets.0
A,899,boundary,0.7506,res::down_blocks.0.resnets.0
A,799,boundary,0.7506,res::down_blocks.0.resnets.0
A,699,boundary,0.7506,res::down_blocks.0.resnets.0
A,599,boundary,0.7506,res::down_blocks.0.resnets.0
A,499,boundary,0.7506,res::down_blocks.0.resnets.0
A,399,boundary,0.7506,res::down_blocks.0.resnets.0
A,299,boundary,0.7506,res::down_blocks.0.resnets.0
A,199,boundary,0.7506,res::down_blocks.0.resnets.0
A,99,boundary,0.7506,res::down_blocks.0.resnets.0
A,999,ordinal,0.6581,res::down_blocks.0.resnets.1
A,899,ordinal,0.6541,res::down_blocks.0.resnets.1
A,799,ordinal,0.6501,res::down_blocks.0.resnets.1
A,699,ordinal,0.6395,res::down_blocks.0.resnets.1
A,599,ordinal,0.6378,res::down_blocks.0.resnets.1
A,499,ordinal,0.6417,res::down_blocks.0.resnets.1
A,399,ordinal,0.6427,res::down_blocks.0.resnets.1
A,299,ordinal,0.6479,res::down_blocks.0.resnets.1
A,199,ordinal,0.6491,res::down_blocks.0.resnets.1
A,99,ordinal,0.6536,res::down_blocks.0.resnets.1
A,999,depth,0.1494,res::down_blocks.0.resnets.1
A,899,depth,0.1503,res::down_blocks.0.resnets.1
A,799,depth,0.1570,res::down_blocks.0.resnets.1
A,699,depth,0.1597,res::down_blocks.0.resnets.1
A,599,depth,0.1540,res::down_blocks.0.resnets.1
A,499,depth,0.1650,res::down_blocks.0.resnets.1
A,399,depth,0.1628,res::down_blocks.0.resnets.1
A,299,depth,0.1594,res::down_blocks.0.resnets.1
A,199,depth,0.1760,res::down_blocks.0.resnets.1
A,99,depth,0.1628,res::down_blocks.0.resnets.1
A,999,boundary,0.7506,res::down_blocks.0.resnets.1
A,899,boundary,0.7506,res::down_blocks.0.resnets.1
A,799,boundary,0.7506,res::down_blocks.0.resnets.1
A,699,boundary,0.7506,res::down_blocks.0.resnets.1
A,599,boundary,0.7506,res::down_blocks.0.resnets.1
A,499,boundary,0.7506,res::down_blocks.0.resnets.1
A,399,boundary,0.7506,res::down_blocks.0.resnets.1
A,299,boundary,0.7506,res::down_blocks.0.resnets.1
A,199,boundary,0.7506,res::down_blocks.0.resnets.1
A,99,boundary,0.7506,res::down_blocks.0.resnets.1
A,999,ordinal,0.6477,res::down_blocks.1.resnets.1
A,899,ordinal,0.6518,res::down_blocks.1.resnets.1
A,799,ordinal,0.6606,res::down_blocks.1.resnets.1
A,699,ordinal,0.6503,res::down_blocks.1.resnets.1
A,599,ordinal,0.6451,res::down_blocks.1.resnets.1
A,499,ordinal,0.6516,res::down_blocks.1.resnets.1
A,399,ordinal,0.6523,res::down_blocks.1.resnets.1
A,299,ordinal,0.6536,res::down_blocks.1.resnets.1
A,199,ordinal,0.6604,res::down_blocks.1.resnets.1
A,99,ordinal,0.6465,res::down_blocks.1.resnets.1
A,999,depth,0.1262,res::down_blocks.1.resnets.1
A,899,depth,0.1395,res::down_blocks.1.resnets.1
A,799,depth,0.1412,res::down_blocks.1.resnets.1
A,699,depth,0.1474,res::down_blocks.1.resnets.1
A,599,depth,0.1337,res::down_blocks.1.resnets.1
A,499,depth,0.1343,res::down_blocks.1.resnets.1
A,399,depth,0.1320,res::down_blocks.1.resnets.1
A,299,depth,0.1479,res::down_blocks.1.resnets.1
A,199,depth,0.1566,res::down_blocks.1.resnets.1
A,99,depth,0.1432,res::down_blocks.1.resnets.1
A,999,boundary,0.7505,res::down_blocks.1.resnets.1
A,899,boundary,0.7499,res::down_blocks.1.resnets.1
A,799,boundary,0.7493,res::down_blocks.1.resnets.1
A,699,boundary,0.7505,res::down_blocks.1.resnets.1
A,599,boundary,0.7502,res::down_blocks.1.resnets.1
A,499,boundary,0.7505,res::down_blocks.1.resnets.1
A,399,boundary,0.7504,res::down_blocks.1.resnets.1
